Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
West Warren-Viola U. D.,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Morrison, Tennessee,15954,https://www.ewg.org/tapwater/system.php?pws=TN0000742,8,12 ,Atrazine;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Chlorate;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
West Wilson Utility District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mount Juliet,mt. Juliet,68879,https://www.ewg.org/tapwater/system.php?pws=TN0000743,5,9 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
White House Utility District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hendersonville,white House,93888,https://www.ewg.org/tapwater/system.php?pws=TN0000745,6,10 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Haloacetic acids (HAA5);Nitrate;Strontium;Vanadium,2012-2017,Surface water
Wilson County Water & Wastewater,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wilson County, Tennessee,20435,https://www.ewg.org/tapwater/system.php?pws=TN0000790,2,5 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Purchased surface water
Winchester Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Winchester, Tennessee,21176,https://www.ewg.org/tapwater/system.php?pws=TN0000754,6,12 ,Bromodichloromethane;Chlorate;Chloroform;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);2%2C4-D;Atrazine;Barium;Fluoride;Haloacetic acids (HAA5);Strontium,2012-2017,Surface water
Acton MUD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hood County, Texas,19125,https://www.ewg.org/tapwater/system.php?pws=TX1110007,8,37 ,Arsenic;Bromodichloromethane;Cadmium;Dibromochloromethane;Dichloroacetic acid;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Acetone;Aluminum;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chloroform;Chromium (hexavalent);Chromium (total);Cobalt;Cyanide;Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl ethyl ketone;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrite;Selenium;Strontium;Thallium;Trichloroacetic acid;Uranium;Vanadium;Xylenes (total),2012-2017,Purchased surface water
Agua SUD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hidalgo County, Texas,46950,https://www.ewg.org/tapwater/system.php?pws=TX1080022,9,27 ,Arsenic;Bromodichloromethane;Bromoform;Chlorite;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Bromochloroacetic acid;Chlorate;Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Manganese;Molybdenum;Monobromoacetic acid;Nitrate;Selenium;Strontium;Trichloroacetic acid;Uranium;Vanadium,2012-2017,Surface water
Amarillo Municipal Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Amarillo, Texas,196429,https://www.ewg.org/tapwater/system.php?pws=TX1880001,13,31 ,Arsenic;Bromate;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium;Acetone;Aluminum;Barium;Bromochloroacetic acid;Chlorate;Chromium (total);Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Mercury (inorganic);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Selenium;Strontium;Vanadium,2012-2017,Surface water
Aqua Water Supply Corporation,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bastrop County, Texas,59328,https://www.ewg.org/tapwater/system.php?pws=TX0110013,8,25 ,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium;Bromochloroacetic acid;Chlorate;Chromium (hexavalent);Cobalt;Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Selenium;Strontium;Vanadium,2012-2017,Groundwater
Atascosa Rural WSC,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Atascosa, Texas,10482,https://www.ewg.org/tapwater/system.php?pws=TX0150040,8,18 ,Bromodichloromethane;Bromoform;Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Thallium;Total trihalomethanes (TTHMs);Uranium;Barium;Bromochloroacetic acid;Chloroform;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate and nitrite;Selenium,2012-2017,Purchased surface water
Benbrook Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Benbrook, Texas,21530,https://www.ewg.org/tapwater/system.php?pws=TX2200029,9,33 ,Bromodichloromethane;Bromoform;Chlorite;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Antimony;Barium;Bromochloroacetic acid;Carbon tetrachloride;Chlorate;Chromium (hexavalent);Chromium (total);Cyanide;Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl isobutyl ketone;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Selenium;Strontium;Vanadium;Xylenes (total),2012-2017,Surface water
Benton City WSC,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Medina County, Texas,17292,https://www.ewg.org/tapwater/system.php?pws=TX1630034,5,20 ,Bromodichloromethane;Bromoform;Dibromochloromethane;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Bromochloroacetic acid;Chloroform;Dibromoacetic acid;Dichloroacetic acid;Ethylbenzene;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Nitrate and nitrite;Strontium;Uranium;Xylenes (total),2012-2017,Groundwater
Bethesda WSC,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Johnson County, Texas,31557,https://www.ewg.org/tapwater/system.php?pws=TX1260017,9,35 ,Arsenic;Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Acetone;Aluminum;Atrazine;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (hexavalent);Chromium (total);Cyanide;Dibromoacetic acid;Ethylbenzene;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl ethyl ketone;Methyl isobutyl ketone;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Nitrite;Selenium;Strontium;Trichloroacetic acid;Vanadium;Xylenes (total),2012-2017,Purchased surface water
Bi County WSC 1,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Camp County, Texas,10884,https://www.ewg.org/tapwater/system.php?pws=TX0320002,8,28 ,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone;Aluminum;Antimony;Barium;Bromochloroacetic acid;Chromium (total);Dibromoacetic acid;Ethylbenzene;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl ethyl ketone;Methyl isobutyl ketone;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Selenium;Silver;Xylenes (total),2012-2017,Groundwater
Bolivar Peninsula SUD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Galveston County, Texas,17328,https://www.ewg.org/tapwater/system.php?pws=TX0840044,7,19 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium*;Bromochloroacetic acid;Cyanide*;Dalapon*;Di(2-ethylhexyl) phthalate*;Dibromoacetic acid;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate;Nitrite;Strontium;Vanadium,2012-2017,Purchased surface water
Borger Municipal Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Borger, Texas,12865,https://www.ewg.org/tapwater/system.php?pws=TX1170001,5,24 ,Arsenic;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Uranium;Aluminum;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (total);Dibromochloromethane;Ethylbenzene;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl isobutyl ketone;Molybdenum;Monochloroacetic acid;Selenium;Strontium;Trichloroacetic acid;Vanadium;Xylenes (total),2012-2017,Surface water
Bridgestone MUD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Harris County, Texas,18922,https://www.ewg.org/tapwater/system.php?pws=TX1011550,10,22 ,Arsenic;Bromodichloromethane;Chloroform;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium;Atrazine;Barium;Bromochloroacetic acid;Cyanide;Di(2-ethylhexyl) phthalate;Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Nitrite;Simazine,2012-2017,Purchased surface water
Brookesmith Special Utility District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Brown County, Texas,11289,https://www.ewg.org/tapwater/system.php?pws=TX0250004,9,21 ,Arsenic*;Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium*;Bromochloroacetic acid;Cyanide*;Dibromoacetic acid;Fluoride*;Haloacetic acids (HAA5);Hexadecanoic acid*;Manganese*;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite,2012-2017,Purchased surface water
Brownsville Public Utilities Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Brownsville, Texas,176362,https://www.ewg.org/tapwater/system.php?pws=TX0310001,10,29 ,Arsenic;Bromodichloromethane;Bromoform;Chlorite;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;1%2C4-Dioxane;Aluminum;Atrazine;Barium;Bromochloroacetic acid;Chlorate;Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Manganese;Molybdenum;Monobromoacetic acid;Nitrate;Selenium;Strontium;Vanadium,2012-2017,Surface water
Brushy Creek MUD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Williamson County, Texas,20534,https://www.ewg.org/tapwater/system.php?pws=TX2460061,9,23 ,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Atrazine;Barium;Bromochloroacetic acid;Chlorate;Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Vanadium,2012-2017,Surface water
Caddo Basin SUD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hunt County, Texas,11691,https://www.ewg.org/tapwater/system.php?pws=TX1160029,9,14 ,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Bromochloroacetic acid;Dibromoacetic acid;Haloacetic acids (HAA5);Monobromoacetic acid;Monochloroacetic acid,2012-2017,Purchased surface water
Canyon Municipal Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Canyon, Texas,13650,https://www.ewg.org/tapwater/system.php?pws=TX1910001,13,29 ,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium;Acetone;Aluminum;Barium;Bromochloroacetic acid;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Selenium;Strontium;Vanadium,2012-2017,Purchased surface water
Cash SUD,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hunt County, Texas,21891,https://www.ewg.org/tapwater/system.php?pws=TX1160018,10,29 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone;Aluminum;Atrazine;Barium;Bromochloroacetic acid;Chlorate;Chromium (total);Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl ethyl ketone;Metolachlor;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Vanadium,2012-2017,Surface water
City of Abilene,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Abilene, Texas,123886,https://www.ewg.org/tapwater/system.php?pws=TX2210001,12,33 ,Arsenic;Bromodichloromethane;Bromoform;Chlorite;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Perfluoroheptanoic acid (PFHPA);Perfluorohexane sulfonate (PFHXS);Perfluorooctane sulfonate (PFOS);Total trihalomethanes (TTHMs);Aluminum;Atrazine;Barium;Bromochloroacetic acid;Chlorate;Chromium (hexavalent);Cyanide;Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Selenium;Strontium;Trichloroacetic acid;Uranium;Vanadium,2012-2017,Surface water
City of Alamo,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alamo, Texas,18363,https://www.ewg.org/tapwater/system.php?pws=TX1080001,8,24 ,Bromodichloromethane;Bromoform;Chlorate;Chlorite;Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs);Uranium;1%2C4-Dioxane;Aluminum;Barium;Bromochloroacetic acid;Chloroform;Cyanide;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Selenium;Strontium;Trichloroacetic acid;Vanadium,2012-2017,Surface water
City of Alice,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alice, Texas,25263,https://www.ewg.org/tapwater/system.php?pws=TX1250001,9,27 ,Bromodichloromethane;Bromoform;Chlorite;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Atrazine;Barium;Bromochloroacetic acid;Chlorate;Chromium (hexavalent);Cyanide;Dalapon;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Vanadium,2012-2017,Surface water
City of Allen,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Allen, Texas,93528,https://www.ewg.org/tapwater/system.php?pws=TX0430025,15,33 ,Arsenic*;Atrazine*;Bromate*;Bromodichloromethane;Bromoform;Chlorate;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone*;Aluminum*;Antimony*;Barium*;Bromochloroacetic acid;Chlorite*;Chromium (total);Cyanide*;Di(2-ethylhexyl) phthalate*;Dibromoacetic acid;Fluoride*;Haloacetic acids (HAA5);Manganese*;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Selenium*;Strontium,2012-2017,Purchased surface water
City of Alvin,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alvin, Texas,24000,https://www.ewg.org/tapwater/system.php?pws=TX0200001,5,22 ,Bromodichloromethane;Bromoform;Dibromochloromethane;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Bromochloroacetic acid;Bromochloromethane;Bromomethane;Chloroform;Chloromethane;Chromium (hexavalent);Chromium (total);Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Nitrate and nitrite;Strontium,2012-2017,Groundwater
City of Andrews,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Andrews, Texas,11088,https://www.ewg.org/tapwater/system.php?pws=TX0020001,7,21 ,Arsenic;Bromoform;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Uranium;Acetone;Aluminum;Barium;Bromochloroacetic acid;Chromium (total);Dibromoacetic acid;Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Methyl ethyl ketone;Monochloroacetic acid;Selenium;Tetrahydrofuran;Trichloroacetic acid,2012-2017,Groundwater
City of Angleton,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Angleton, Texas,18120,https://www.ewg.org/tapwater/system.php?pws=TX0200002,10,30 ,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone;Aluminum;Atrazine;Barium;Bromochloroacetic acid;Chlorate;Chromium (hexavalent);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Selenium;Simazine;Strontium;Tetrahydrofuran;Uranium;Vanadium,2012-2017,Purchased surface water
City of Anna,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Anna, Texas,11500,https://www.ewg.org/tapwater/system.php?pws=TX0430027,8,22 ,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone;Aluminum;Barium;Bromochloroacetic acid;Chromium (total);Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl isobutyl ketone;Monochloroacetic acid;Nitrate;Silver,2012-2017,Purchased surface water
City of Arlington,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Arlington, Texas,379370,https://www.ewg.org/tapwater/system.php?pws=TX2200001,9,31 ,Arsenic;Bromate;Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Antimony;Atrazine;Barium;Bromochloroacetic acid;Bromoform;Chlorodifluoromethane;Chromium (hexavalent);Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Selenium;Simazine;Strontium;Trichloroacetic acid;Vanadium,2012-2017,Surface water
