Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
Enumclaw Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Enumclaw, Washington,15283,https://www.ewg.org/tapwater/system.php?pws=WA5323600,7,12 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Dichloroacetic acid;Haloacetic acids (HAA5);Strontium;Vanadium
Ferndale,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Ferndale, Washington,12290,https://www.ewg.org/tapwater/system.php?pws=WA5324850,6,18 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Bromoform;Chromium (hexavalent);Dibromochloromethane;Total trihalomethanes (TTHMs),Bromochloroacetic acid;Chlorate;Chloroform;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Vanadium
Firgrove Mutual Inc,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pierce County, Washington,23747,https://www.ewg.org/tapwater/system.php?pws=WA5325200,8,21 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Bromoform;Chlorate;Chlorodifluoromethane;Chromium (total);Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Trichloroacetic acid;Vanadium
Fruitland Mutual Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pierce County, Washington,11169,https://www.ewg.org/tapwater/system.php?pws=WA5326800,7,12 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Chlorate;Chloroform;Strontium;Vanadium
Highline Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,68258,https://www.ewg.org/tapwater/system.php?pws=WA5340650,7,18 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromoform;Chlorate;Chromium (total);DCPA di-acid degradate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Strontium;Vanadium
Issaquah Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Issaquah, Washington,22926,https://www.ewg.org/tapwater/system.php?pws=WA5336350,16,25 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Nitrate;Nitrate and nitrite;Perfluorobutane sulfonate (PFBS);Perfluoroheptanoic acid (PFHPA);Perfluorohexane sulfonate (PFHXS);Perfluorononanoic acid (PFNA);Perfluorooctane sulfonate (PFOS);Perfluorooctanoic acid (PFOA);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Chlorate;Haloacetic acids (HAA5);Manganese;Molybdenum;Monochloroacetic acid;Strontium;Vanadium
JBLM Lewis,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pierce County, Washington,29115,https://www.ewg.org/tapwater/system.php?pws=WA5326050,8,19 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Perfluorooctanoic acid (PFOA);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chlorate;Chloroform;Chromium (total);Fluoride;Manganese;Nitrate and nitrite;Perfluoroheptanoic acid (PFHPA);Strontium;Trichloroethylene;Vanadium
Kent Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Kent, Washington,67151,https://www.ewg.org/tapwater/system.php?pws=WA5338150,11,19 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Strontium;Vanadium
King County Water District #125,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,14760,https://www.ewg.org/tapwater/system.php?pws=WA5341998,6,14 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chromium (total);Dibromochloromethane;Haloacetic acids (HAA5);Monochloroacetic acid;Strontium;Vanadium
King County Water District #20,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,31710,https://www.ewg.org/tapwater/system.php?pws=WA5338950,6,21 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Bromochloroacetic acid;Bromoform;Chlorate*;Chromium (total)*;DCPA di-acid degradate*;Dibromoacetic acid;Dibromochloromethane;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate*;Nitrite*;Strontium;Vanadium
King County Water District #49,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,15987,https://www.ewg.org/tapwater/system.php?pws=WA5339800,7,21 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Bromochloroacetic acid;Bromoform;Chlorate*;Chromium (total)*;DCPA di-acid degradate*;Dibromoacetic acid;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate*;Nitrite*;Strontium;Vanadium
King County Water District 111,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,20000,https://www.ewg.org/tapwater/system.php?pws=WA5341900,7,12 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Haloacetic acids (HAA5);Strontium;Vanadium
King County Water District No 90,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,19000,https://www.ewg.org/tapwater/system.php?pws=WA5341150,7,19 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Chlorate;Chromium (total);Dibromoacetic acid;Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monochloroacetic acid;Strontium;Vanadium
Lacey Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Lacey, Washington,67482,https://www.ewg.org/tapwater/system.php?pws=WA5343500,9,19 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;Radium%2C combined (-226 & -228);Strontium;Vanadium
Lakehaven Utility District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,112000,https://www.ewg.org/tapwater/system.php?pws=WA5341997,11,18 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Dibromoacetic acid;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
Lakewood Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Lakewood, Washington,69705,https://www.ewg.org/tapwater/system.php?pws=WA5345550,6,13 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs),Chlorate;Chloroform;Manganese;Radium%2C combined (-226 & -228);Strontium;Vanadium
Longview Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Longview, Washington,40878,https://www.ewg.org/tapwater/system.php?pws=WA5348100,7,15 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chromium (hexavalent);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium
Lynden Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Lynden, Washington,12730,https://www.ewg.org/tapwater/system.php?pws=WA5349150,7,12 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Marysville Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Marysville, Washington,62115,https://www.ewg.org/tapwater/system.php?pws=WA5351900,9,19 ,2012-2017,Purchased groundwater under influence of surface water,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Chlorate;Chromium (total);Haloacetic acids (HAA5);Manganese;Molybdenum;Monochloroacetic acid;Strontium;Vanadium
Modern Electric Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Spokane County, Washington,18560,https://www.ewg.org/tapwater/system.php?pws=WA5355600,5,13 ,2012-2017,Groundwater,Arsenic;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228),Chlorate;Chloroform;Chromium (total);Molybdenum;Strontium;Total trihalomethanes (TTHMs);Vanadium
Monroe Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Monroe, Washington,18513,https://www.ewg.org/tapwater/system.php?pws=WA5355820,6,18 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Aluminum*;Barium*;Chlorate;Fluoride*;Haloacetic acids (HAA5);Manganese*;Monochloroacetic acid;Nitrate*;Nitrite*;Strontium;Vanadium
Mukilteo Water & Wastewater District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mukilteo, Washington,24575,https://www.ewg.org/tapwater/system.php?pws=WA5357550,6,11 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Haloacetic acids (HAA5);Monochloroacetic acid;Strontium;Vanadium
Nob Hill Water Association,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Yakima County, Washington,28827,https://www.ewg.org/tapwater/system.php?pws=WA5359700,11,23 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Thallium;Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Vanadium
North City Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,24886,https://www.ewg.org/tapwater/system.php?pws=WA5339600,6,20 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Bromochloroacetic acid;Chlorate*;Chromium (total)*;DCPA di-acid degradate*;Dibromoacetic acid*;Dibromochloromethane;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate*;Nitrite*;Strontium;Vanadium
North Peninsula,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Kitsap County, Washington,12437,https://www.ewg.org/tapwater/system.php?pws=WA5305122,9,20 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chloromethane;Dibromoacetic acid;Dichloroacetic acid;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate and nitrite;Strontium;Vanadium
North Perry Ave Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Kitsap County, Washington,18533,https://www.ewg.org/tapwater/system.php?pws=WA5360950,9,17 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Di-n-butyl phthalate;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Vanadium
Northshore Utility District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,70146,https://www.ewg.org/tapwater/system.php?pws=WA5340800,7,20 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Bromochloroacetic acid;Chlorate*;Chromium (total);DCPA di-acid degradate*;Dibromoacetic acid*;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate*;Nitrite*;Strontium;Vanadium
Olympic View Water & Sewer District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Snohomish County, Washington,12938,https://www.ewg.org/tapwater/system.php?pws=WA5363600,9,21 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium;Vanadium
Parkland Light & Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pierce County, Washington,25050,https://www.ewg.org/tapwater/system.php?pws=WA5366200,7,15 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs),Bromoform;Dichloroacetic acid;Haloacetic acids (HAA5);Molybdenum;Strontium;Trichloroacetic acid;Vanadium
Pasco Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pasco, Washington,68648,https://www.ewg.org/tapwater/system.php?pws=WA5366400,8,18 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Chlorate;Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monochloroacetic acid;Strontium;Vanadium
PUD #1 of Asotin County,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Asotin County, Washington,19264,https://www.ewg.org/tapwater/system.php?pws=WA5393343,7,14 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Bromoform;Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chromium (hexavalent);Dibromoacetic acid;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
Sammamish Plateau Water and Sewer,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Sammamish, Washington,54468,https://www.ewg.org/tapwater/system.php?pws=WA5340900,10,21 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium;Vanadium
Seattle Public Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Seattle, Washington,678000,https://www.ewg.org/tapwater/system.php?pws=WA5377050,6,20 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide;Bromochloroacetic acid;Chlorate;Chromium (total);DCPA di-acid degradate;Dibromoacetic acid;Dibromochloromethane;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate;Nitrite;Strontium;Vanadium
Silver Lake Water & Sewer District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Snohomish County, Washington,47333,https://www.ewg.org/tapwater/system.php?pws=WA5379250,6,12 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chromium (total);Haloacetic acids (HAA5);Monochloroacetic acid;Strontium;Vanadium
Silverdale Water District 16,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Silverdale, Washington,20665,https://www.ewg.org/tapwater/system.php?pws=WA5379300,8,20 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chlorate;Chromium (total);Dichloroacetic acid;Ethylbenzene;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Trichloroacetic acid;Vanadium;Xylenes (total)
Skagit County Public Utility District 1 Judy Reservoir,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Skagit County, Washington,65118,https://www.ewg.org/tapwater/system.php?pws=WA5379500,6,14 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chlorite;Chromium (total);Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate;Strontium
SNO PUD 1 - Lake Stevens,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Snohomish County, Washington,46298,https://www.ewg.org/tapwater/system.php?pws=WA5380907,7,19 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Ethylbenzene;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Strontium;Vanadium;Xylenes (total)
